start_station_name,trip_count,lat,lng
Kingsbury St & Kinzie St,1550,41.88917683258,-87.6385057718
Canal St & Madison St,1231,41.882409,-87.639767
Clinton St & Washington Blvd,1221,41.88338,-87.64117
Clinton St & Madison St,1061,41.882751965685614,-87.64119029045105
University Ave & 57th St,1017,41.791478,-87.599861
Ellis Ave & 60th St,914,41.785114408,-87.601125956
Clark St & Elm St,911,41.902973,-87.63128
Clinton St & Jackson Blvd,891,41.87831661183069,-87.64098107814789
Larrabee St & Kingsbury St,882,41.897764,-87.642884
Canal St & Adams St,839,41.879255,-87.639904
Ellis Ave & 55th St,785,41.79430062054,-87.6014497734
State St & Chicago Ave,782,41.89661720040753,-87.62857854366302
Orleans St & Merchandise Mart Plaza,706,41.888243,-87.63639
Daley Center Plaza,705,41.884241,-87.629634
Dearborn St & Erie St,663,41.893992,-87.629318
Wells St & Elm St,661,41.903222,-87.634324
Clinton St & Lake St,661,41.885637,-87.641823
Desplaines St & Kinzie St,649,41.888716036,-87.6444478533
Wells St & Hubbard St,646,41.889906,-87.634266
Kingsbury St & Erie St,645,41.8939139,-87.6417358
Wells St & Huron St,642,41.894722,-87.634362
LaSalle St & Jackson Blvd,635,41.878166,-87.631929
Wells St & Concord Ln,623,41.912133,-87.634656
St. Clair St & Erie St,614,41.89434513742426,-87.62279838323593
Dearborn St & Monroe St,600,41.881319815,-87.6295209193
Wabash Ave & Grand Ave,589,41.891466,-87.626761
Clark St & Lake St,583,41.88602082773,-87.6308760584
Franklin St & Lake St,579,41.885837,-87.6355
Michigan Ave & Washington St,556,41.8839840647265,-87.6246839761734
Blackstone Ave & 59th St,545,41.787877,-87.590461
Franklin St & Monroe St,538,41.880317,-87.635185
Green St & Madison St,508,41.88185932803823,-87.64926373958588
Columbus Dr & Randolph St,506,41.884728,-87.619521
McClurg Ct & Ohio St,502,41.892592119709725,-87.61728912591934
LaSalle St & Illinois St,501,41.890762,-87.631697
Franklin St & Jackson Blvd,500,41.8777079559,-87.6353211408
Halsted St & Polk St,497,41.87184,-87.64664
Halsted St & Fulton St,495,41.886871,-87.648089
Morgan St & Polk St,490,41.871737,-87.65103
New St & Illinois St,483,41.89084704062381,-87.61861681938171
Michigan Ave & Lake St,482,41.886022,-87.624398
Canal St & Jackson Blvd,479,41.878125,-87.639968
Indiana Ave & Roosevelt Rd,478,41.867888,-87.623041
McClurg Ct & Erie St,472,41.894503,-87.617854
Loomis St & Lexington St,470,41.87222873224032,-87.66136385500431
Aberdeen St & Jackson Blvd,469,41.877873063,-87.654778719
Broadway & Waveland Ave,465,41.94912827,-87.648547411
Ravenswood Ave & Lawrence Ave,461,41.968445,-87.674226
Desplaines St & Jackson Blvd,450,41.87811890091227,-87.64394760131836
Dearborn Pkwy & Delaware Pl,448,41.898969,-87.629912
Federal St & Polk St,439,41.87207763285,-87.6295437729
Sedgwick St & Huron St,439,41.894666,-87.638437
State St & Kinzie St,431,41.88937546663168,-87.62707650661469
Wilton Ave & Belmont Ave,430,41.940231918108594,-87.65294373035431
Fairbanks Ct & Grand Ave,430,41.89184737210993,-87.62058019638062
Halsted St & Clybourn Ave,427,41.909668,-87.648128
Ellis Ave & 58th St,420,41.788746,-87.601334
Wabash Ave & Roosevelt Rd,417,41.867227,-87.625961
Kimbark Ave & 53rd St,415,41.7994549,-87.5947779
Ashland Ave & Division St,414,41.90345,-87.667747
Clark St & Newport St,409,41.94454,-87.654678
Sheffield Ave & Fullerton Ave,403,41.9256163,-87.6536574
State St & 33rd St,384,41.834734,-87.625813
Franklin St & Illinois St,383,41.89102331025185,-87.63547986745834
Wells St & Randolph St,380,41.884295,-87.633963
Peoria St & Jackson Blvd,379,41.8776415962753,-87.64961779117584
Clark St & Wrightwood Ave,369,41.929546,-87.643118
Rush St & Cedar St,369,41.90230870122,-87.627690528
Wells St & Walton St,363,41.89993001,-87.63443007
Wabash Ave & Adams St,359,41.87947235235,-87.6256886059
Woodlawn Ave & 58th St,359,41.789381,-87.596479
Wacker Dr & Washington St,357,41.88314336439022,-87.63724207878113
Lincoln Ave & Fullerton Ave,353,41.924161029067626,-87.64638036489487
Broadway & Barry Ave,352,41.93758231600629,-87.6440978050232
Mies van der Rohe Way & Chicago Ave,351,41.896944626370825,-87.62175768613815
Southport Ave & Waveland Ave,351,41.948226,-87.6640712
LaSalle St & Washington St,347,41.882664,-87.63253
Morgan St & Lake St*,344,41.88549170626906,-87.65228927135468
900 W Harrison St,343,41.874754,-87.649807
Calumet Ave & 33rd St,342,41.8349,-87.61793
University Ave & 59th St,340,41.787878,-87.598906
Broadway & Cornelia Ave,339,41.945529,-87.646439
Sheridan Rd & Irving Park Rd,338,41.954245,-87.654406
Orleans St & Hubbard St,338,41.890028,-87.636618
Franklin St & Adams St (Temp),337,41.87943409140013,-87.63550400733948
Wells St & Polk St,336,41.87273154226308,-87.63351649045944
Rush St & Superior St,336,41.895799041,-87.626107812
Broadway & Sheridan Rd,336,41.952833,-87.649993
State St & Randolph St,331,41.88462107257936,-87.62783423066139
Cityfront Plaza Dr & Pioneer Ct,330,41.890573,-87.622072
Streeter Dr & Grand Ave,327,41.892278,-87.612043
Franklin St & Chicago Ave,320,41.897167,-87.6356949
Wells St & Evergreen Ave,320,41.906724,-87.63483
Dearborn St & Adams St,316,41.8793563587,-87.6297910363
Clarendon Ave & Gordon Ter,312,41.95786652415174,-87.64950513839722
Rush St & Hubbard St,310,41.890173,-87.626185
Paulina St & Flournoy St,303,41.87306108789792,-87.66913488507271
Mies van der Rohe Way & Chestnut St,302,41.8985866514,-87.6219152258
Clark St & Wellington Ave,300,41.9364968219,-87.6475386582
Halsted St & Roscoe St,300,41.9436315,-87.6490833
Milwaukee Ave & Grand Ave,298,41.891578,-87.648384
Southport Ave & Wrightwood Ave,297,41.928773,-87.663913
Wabash Ave & 9th St,296,41.870769,-87.625734
Clark St & Schiller St,296,41.907993,-87.631501
Elizabeth St & Randolph St,295,41.884336,-87.658902
Wolcott Ave & Polk St,294,41.871262,-87.673688
Clark St & Armitage Ave,292,41.918306,-87.636282
Southport Ave & Roscoe St,290,41.943739,-87.66402
Dayton St & North Ave,289,41.9105780349,-87.6494219288
Elston Ave & Cortland St,288,41.91643342912655,-87.66674637794495
Halsted St & Wrightwood Ave,285,41.929147482,-87.649152756
Racine Ave & Fullerton Ave,284,41.925566,-87.658416
Millennium Park,280,41.8810317,-87.62408432
Aberdeen St & Randolph St,278,41.884114,-87.654264
Clark St & Chicago Ave,278,41.89675,-87.63089
Sangamon St & Lake St,278,41.88577925240433,-87.65102460980414
Clark St & Lincoln Ave,277,41.915689,-87.6346
Woodlawn Ave & 55th St,277,41.795264,-87.596471
Clark St & Winnemac Ave,275,41.97334764047304,-87.6678554713726
Sheffield Ave & Kingsbury St,272,41.910522,-87.653106
Fairbanks St & Superior St,272,41.895748,-87.620104
Burling St & Diversey Pkwy,271,41.93314,-87.64776
May St & Taylor St,271,41.8696317,-87.6542494
Michigan Ave & 14th St,268,41.864059,-87.623727
Lincoln Ave & Melrose St,267,41.9406,-87.669435
Aberdeen St & Monroe St,267,41.880419,-87.655519
Stetson Ave & South Water St,267,41.886835,-87.62232
MLK Jr Dr & 29th St,266,41.842052,-87.617
Financial Pl & Ida B Wells Dr,257,41.8750236280333,-87.6330940425396
Clark St & Ida B Wells Dr,257,41.8759326655,-87.6305845355
LaSalle Dr & Huron St,256,41.894877,-87.632326
Sheffield Ave & Webster Ave,255,41.92154,-87.653818
Larrabee St & Webster Ave,255,41.921822,-87.64414
Damen Ave & Pierce Ave,254,41.9088152,-87.6771937
Ada St & Washington Blvd,254,41.88283,-87.661206
Broadway & Belmont Ave,253,41.940106,-87.645451
Clifton Ave & Armitage Ave,249,41.918216,-87.656936
Wood St & Milwaukee Ave,249,41.907655,-87.672552
Halsted St & Dickens Ave,248,41.919936,-87.64883
Sedgwick St & North Ave,248,41.910983,-87.638525
Field Blvd & South Water St,247,41.88634906269,-87.6175165471
Clinton St & Tilden St,242,41.875885,-87.640795
Pine Grove Ave & Irving Park Rd,241,41.954383,-87.648043
